Station Name,Station Type,Network Operator,Address,City,State,Pincode,Latitude,Longitude,Number of Chargers,Charger Types,Availability Status,Price per Hour,Price per Minute,Free Charging,Weekdays Hours,Weekends Hours,Holidays Hours,Contact Phone,Contact Email,Contact Website,Description,Notes,Verification Status,Is Featured
E-Fill Electric Charging Station,Public Charging Station,E-Fill,Chandran Menon Rd,Kolhapur,Maharashtra,416001,16.5371811,74.3196183,1,CCS,active,0,,,24/7,24/7,,9.19422E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 5.0/5 (40 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
E-Fill Electric Charging Station,Public Charging Station,E-Fill,Hupari - Kolhapur Rd,Kolhapur,Maharashtra,416001,16.6304316,74.3981218,1,CCS,active,0,,,24/7,24/7,,9.19209E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 3.5/5 (4 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Fast DC charging.",pending,FALSE
BPCL Charging Station,Public Charging Station,BPCL,"JCJP+X72, Rendal Rd",Kolhapur,Maharashtra,416001,16.632377,74.4356467,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
BPCL Charging Station,Public Charging Station,BPCL,"JCJP+X72, Rendal Rd",Kolhapur,Maharashtra,416001,16.634555,74.285696,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS. Google rating 4.6/5 (5 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Fast DC charging.",pending,FALSE
ChargeMOD Charging Station,Public Charging Station,chargeMOD,"J6P4+7MF, near Power Grid",Kolhapur,Maharashtra,416001,16.635683,74.206677,1,CCS,active,0,,,24/7,24/7,,9.17908E+11,,,chargeMOD public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
BPCL Charging Station,Public Charging Station,BPCL,J7MP+R7G,Kolhapur,Maharashtra,416001,16.652735,74.271313,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS. Google rating 4.6/5 (5 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Fast DC charging.",pending,FALSE
E-Fill Charging Station,Public Charging Station,E-Fill,"Shop No 1, Ground Floor, Mane Heights, NH Service Road",Kolhapur,Maharashtra,416001,16.6591391,74.2688772,1,CCS,active,0,,,24/7,24/7,,9.17448E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 3.9/5 (8 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Fast DC charging.",pending,FALSE
Electric Vehicle Charging Station,Public Charging Station,E-Fill,"Mali Petroleum, Main road",Kolhapur,Maharashtra,416001,16.6599072,74.3618299,1,CCS,active,0,,,24/7,24/7,,9.19922E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 4.4/5 (45 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
BPCL Charging Station,Public Charging Station,BPCL,,Kolhapur,Maharashtra,416001,16.660246,74.504111,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
Ather Charging Station,Public Charging Station,Ather Energy,,Kolhapur,Maharashtra,416001,16.6611578,74.2054844,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.atherenergy.com,Ather Energy public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
E-Fill Charging Station,Public Charging Station,E-Fill,"Shop No 1, Ground Floor, Mane Heights, NH Service Road",Kolhapur,Maharashtra,416001,16.6827233,74.2719042,1,CCS,active,0,,,24/7,24/7,,9.17448E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 3.9/5 (8 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Fast DC charging.",pending,FALSE
Hyundai Charging Station,Public Charging Station,Hyundai,"1D2, NH-4",Kolhapur,Maharashtra,416001,16.6870929,74.273011,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.hyundaimotorindia.com,Hyundai public charging station in Kolhapur. Connector types: CCS. Google rating 3.1/5 (12 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
LionCharge Charging Station,Public Charging Station,LionCharge,"Hissa No 1, Plot No 1/K1, next to McDonald's and Greecania",Kolhapur,Maharashtra,416001,16.6871116,74.2730032,1,CCS,active,0,,,24/7,24/7,,9.19877E+11,,www.lioncharge.in,LionCharge public charging station in Kolhapur. Connector types: CCS. Google rating 3.7/5 (6 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
Ather Grid Charging Station,Public Charging Station,Ather Energy,"Bagwan Jamayat Hall, Sangli Road, near Badshah Bajaj Showroom",Kolhapur,Maharashtra,416001,16.6873459,74.4736457,1,LECCS,active,0,,,Closes 6:30 PM -,Closes 6:30 PM -,,9.1924E+11,,www.atherenergy.com,Ather Energy public charging station in Kolhapur. Connector types: LECCS. Google rating 3.5/5 (12 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
Ather Grid Charging Station,Public Charging Station,Ather Energy,,Kolhapur,Maharashtra,416001,16.688555,74.473564,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.atherenergy.com,Ather Energy public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
BPCL eDrive Charging Station,Public Charging Station,BPCL,"GATE NO-305, Kolhapur-Hupari Rd",Kolhapur,Maharashtra,416001,16.6895642,74.285165,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
Ather Grid Charging Station,Public Charging Station,Ather Energy,,Kolhapur,Maharashtra,416001,16.6922601,74.4752928,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.atherenergy.com,Ather Energy public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
BPCL Charging Station,Public Charging Station,BPCL,J7MP+R7G,Kolhapur,Maharashtra,416001,16.6925837,74.1852857,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS. Google rating 4.6/5 (7 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
Electric Vehicle Charging Station,Public Charging Station,E-Fill,"Mali Petroleum, Main road",Kolhapur,Maharashtra,416001,16.6982959,74.4421098,1,CCS,active,0,,,24/7,24/7,,9.19922E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 5.0/5 (14 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Fast DC charging.",pending,FALSE
E-Fill Electric Charging Station,Public Charging Station,E-Fill,Chandran Menon Rd,Kolhapur,Maharashtra,416001,16.7013912,74.2546376,1,CCS,active,0,,,24/7,24/7,,9.19877E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 4.3/5 (19 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
ChargeZone Charging Station,Public Charging Station,ChargeZone,"E, Ground Floor, GPT Complex, No 517, Old Pune-Bangalore Hwy, opposite Opal Hotel",Kolhapur,Maharashtra,416001,16.702509,74.2502457,1,CCS,active,0,,,24/7,24/7,,9.118E+12,,www.chargezone.in,ChargeZone public charging station in Kolhapur. Connector types: CCS. Google rating 5.0/5 (1 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
Zeon Charging Station,Public Charging Station,Zeon Charging,"railway Station, Railway Colony Rd",Kolhapur,Maharashtra,416001,16.7029028,74.2370796,1,CCS,active,0,,,24/7,24/7,,9.1979E+11,,www.zeoncharging.com,Zeon Charging public charging station in Kolhapur. Connector types: CCS. Google rating 4.0/5 (5 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Fast DC charging.",pending,FALSE
